description,category,person_names,dates,topics,effects,anatomical_terms
"Case overview: A child under 14 unlawfully or forcibly taken or detained. Child reported by Ryan Carter, Dr. Susan Ayers Incident occurred on 17 November 2023, 02 December 2021 Topics involved include emotional abuse.",Abduction,Ryan Carter; Dr. Susan Ayers,17 November 2023; 02 December 2021,emotional abuse,,
"Summary: Right of a child to be registered at birth. Child reported by Meghan Cervantes Incident occurred on 21 November 2024, 04 November 2020 Topics involved include emotional abuse.",Registration,Meghan Cervantes,21 November 2024; 04 November 2020,emotional abuse,,
Reported incident: Acts harming a child's emotional development. Child reported by Brandon Gardner Incident occurred on 22 February 2024 Topics involved include online child abuse Effects reported: anxiety.,Emotional abuse,Brandon Gardner,22 February 2024,online child abuse,anxiety,
"Reported incident: Child engaged in use or trafficking of drugs. Child reported by Teresa Cunningham Incident occurred on 22 November 2022, 10 May 2021 Topics involved include emotional abuse, online child abuse.",Drug and substance abuse,Teresa Cunningham,22 November 2022; 10 May 2021,emotional abuse; online child abuse,,
"Reported incident: Hazardous, exploitative or inappropriate work for a child. Child reported by Corey Jenkins, Ellen Wood Incident occurred on 10 August 2020 Topics involved include drug and substance abuse Effects reported: psychological problems Affected parts: genitals.",Child labor,Corey Jenkins; Ellen Wood,10 August 2020,drug and substance abuse,psychological problems,genitals
"Reported incident: Child with impairments affecting daily life. Child reported by Nathan Jones, Karen Willis Incident occurred on 29 December 2021 Topics involved include child labor.",Child with disability,Nathan Jones; Karen Willis,29 December 2021,child labor,,
"Narrative: Penetration act with a child including sodomy. Child reported by Rebecca Rodriguez, Johnny Johnson Incident occurred on 26 October 2022 Topics involved include child labor, child marriage Effects reported: anxiety.",Defilement,Rebecca Rodriguez; Johnny Johnson,26 October 2022,child labor; child marriage,anxiety,
Summary: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Melissa Best Incident occurred on 21 February 2023 Topics involved include emotional abuse Affected parts: genitals.,Sexual assault and Abuse,Melissa Best,21 February 2023,emotional abuse,,genitals
"Case overview: Child with impairments affecting daily life. Child reported by Carla Ballard Incident occurred on 12 June 2022 Topics involved include Female Genital Mutilation, online child abuse Effects reported: HIV Affected parts: clitoris.",Child with disability,Carla Ballard,12 June 2022,Female Genital Mutilation; online child abuse,HIV,clitoris
"Case overview: Child tested positive for HIV. Child reported by Terry Brown Incident occurred on 06 February 2022, 01 October 2020 Topics involved include child labor Affected parts: clitoris.",Child infected with HIV,Terry Brown,06 February 2022; 01 October 2020,child labor,,clitoris
"Summary: An attempt to penetrate a child. Child reported by Pamela Vargas, Melissa Hill Incident occurred on 20 August 2021, 07 September 2023 Topics involved include harmful cultural practices Affected parts: clitoris.",Attempted Defilement,Pamela Vargas; Melissa Hill,20 August 2021; 07 September 2023,harmful cultural practices,,clitoris
"Reported incident: Marriage or cohabitation with a child. Child reported by Donna Robinson Incident occurred on 20 February 2025, 07 April 2024 Effects reported: high rate of bleeding.",Child marriage,Donna Robinson,20 February 2025; 07 April 2024,,high rate of bleeding,
"Summary: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Stephanie Avila, Charles Townsend Incident occurred on 12 September 2021 Topics involved include drug and substance abuse Affected parts: clitoris.",Sexual assault and Abuse,Stephanie Avila; Charles Townsend,12 September 2021,drug and substance abuse,,clitoris
"Narrative: Practices like FGM, forced marriage, or virginity testing. Child reported by Patricia Jones, Bryan Hayes Incident occurred on 27 May 2023 Topics involved include child marriage Effects reported: anxiety, HIV Affected parts: reproductive organs.",Harmful cultural practices,Patricia Jones; Bryan Hayes,27 May 2023,child marriage,anxiety; HIV,reproductive organs
"Summary: Acts harming a child's emotional development. Child reported by Scott Johnson, Lauren Reese Incident occurred on 22 September 2021 Topics involved include drug and substance abuse Effects reported: infection, psychological problems Affected parts: labia minora.",Emotional abuse,Scott Johnson; Lauren Reese,22 September 2021,drug and substance abuse,infection; psychological problems,labia minora
"Reported incident: Non-medical cutting or injury of female genitals. Child reported by Donna Higgins, Amber Gomez Incident occurred on 27 September 2020 Topics involved include emotional abuse, Female Genital Mutilation Affected parts: genitals.",Female Genital Mutilation (FGM),Donna Higgins; Amber Gomez,27 September 2020,emotional abuse; Female Genital Mutilation,,genitals
"Summary: Marriage or cohabitation with a child. Child reported by Roger Johnson Incident occurred on 28 March 2025, 22 October 2024 Topics involved include child marriage, emotional abuse Affected parts: labia majora.",Child marriage,Roger Johnson,28 March 2025; 22 October 2024,child marriage; emotional abuse,,labia majora
Case overview: Girl under 18 who is pregnant. Child reported by Kelsey Sherman Incident occurred on 17 January 2024 Topics involved include harmful cultural practices Effects reported: high rate of bleeding.,Child Pregnancy,Kelsey Sherman,17 January 2024,harmful cultural practices,high rate of bleeding,
"Case overview: Child engaged in use or trafficking of drugs. Child reported by Ariana Taylor, Scott Lozano Incident occurred on 26 June 2020 Effects reported: trauma, anxiety Affected parts: labia minora.",Drug and substance abuse,Ariana Taylor; Scott Lozano,26 June 2020,,trauma; anxiety,labia minora
"Reported incident: Hazardous, exploitative or inappropriate work for a child. Child reported by Anita Hicks Incident occurred on 06 March 2022 Topics involved include child labor Affected parts: labia majora.",Child labor,Anita Hicks,06 March 2022,child labor,,labia majora
"Narrative: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Amanda Bryant Incident occurred on 11 November 2024, 25 October 2020 Topics involved include emotional abuse Effects reported: high rate of bleeding.",Sexual assault and Abuse,Amanda Bryant,11 November 2024; 25 October 2020,emotional abuse,high rate of bleeding,
"Case overview: An attempt to penetrate a child. Child reported by Jeffrey Tucker Incident occurred on 11 September 2022, 30 October 2022 Effects reported: psychological problems, infection Affected parts: clitoris.",Attempted Defilement,Jeffrey Tucker,11 September 2022; 30 October 2022,,psychological problems; infection,clitoris
"Narrative: Child engaged in use or trafficking of drugs. Child reported by Mark Duke, Erica Hopkins Incident occurred on 07 April 2023 Topics involved include drug and substance abuse, online child abuse Effects reported: HIV.",Drug and substance abuse,Mark Duke; Erica Hopkins,07 April 2023,drug and substance abuse; online child abuse,HIV,
"Narrative: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by James Smith, Brian Werner Incident occurred on 14 June 2023, 16 February 2023 Topics involved include child labor, harmful cultural practices Effects reported: trauma Affected parts: clitoris.",Abandoned,James Smith; Brian Werner,14 June 2023; 16 February 2023,child labor; harmful cultural practices,trauma,clitoris
Reported incident: Right of a child to be registered at birth. Child reported by Mr. Jason Garza Incident occurred on 19 August 2023 Topics involved include Female Genital Mutilation Affected parts: genitals.,Registration,Mr. Jason Garza,19 August 2023,Female Genital Mutilation,,genitals
"Narrative: Acts harming a child's emotional development. Child reported by Christina Cain, Tamara Gomez Incident occurred on 09 February 2024, 27 March 2025 Topics involved include child labor Effects reported: trauma, psychological problems.",Emotional abuse,Christina Cain; Tamara Gomez,09 February 2024; 27 March 2025,child labor,trauma; psychological problems,
"Narrative: Sexual acts between close relatives. Child reported by Holly Schmidt, Mark Madden Incident occurred on 10 July 2020, 19 August 2023 Topics involved include child marriage, Female Genital Mutilation.",Incest,Holly Schmidt; Mark Madden,10 July 2020; 19 August 2023,child marriage; Female Genital Mutilation,,
"Case overview: An attempt to penetrate a child. Child reported by Kathryn Huff Incident occurred on 17 March 2021, 22 October 2023 Effects reported: trauma, HIV Affected parts: reproductive organs.",Attempted Defilement,Kathryn Huff,17 March 2021; 22 October 2023,,trauma; HIV,reproductive organs
"Case overview: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Theresa Rhodes, Shawn Lane Incident occurred on 06 December 2024 Topics involved include online child abuse, emotional abuse Effects reported: trauma, high rate of bleeding.",Sexual assault and Abuse,Theresa Rhodes; Shawn Lane,06 December 2024,online child abuse; emotional abuse,trauma; high rate of bleeding,
"Narrative: A child under 14 unlawfully or forcibly taken or detained. Child reported by Virginia Mann, Evan Wade Incident occurred on 01 January 2024, 08 May 2022 Topics involved include Female Genital Mutilation, online child abuse Effects reported: anxiety.",Abduction,Virginia Mann; Evan Wade,01 January 2024; 08 May 2022,Female Genital Mutilation; online child abuse,anxiety,
